ds,trend,cap,floor,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat,y
2020-09-07T00:00:00Z,131.72995208276515,160,120,0.12462424005391329,0.12462424005391329,0.12462424005391329,0.12462424005391329,0.12462424005391329,0.12462424005391329,0,0,0,130.20008712943294,133.37884157617836,131.17818943835104,132.25085121399462,131.85457632281907,NA
2020-09-08T00:00:00Z,131.66688251794807,160,120,0.25282968892356195,0.25282968892356195,0.25282968892356195,0.25282968892356195,0.25282968892356195,0.25282968892356195,0,0,0,130.2747249963339,133.3741943597826,131.09236972805007,132.20693762716434,131.91971220687162,NA
2020-09-09T00:00:00Z,131.60401286987815,160,120,0.11736399064632613,0.11736399064632613,0.11736399064632613,0.11736399064632613,0.11736399064632613,0.11736399064632613,0,0,0,130.2479756859726,133.28822126752704,131.01272365124538,132.16485055454154,131.7213768605245,NA
2020-09-10T00:00:00Z,131.54134400596377,160,120,-0.061547367912768235,-0.061547367912768235,-0.061547367912768235,-0.061547367912768235,-0.061547367912768235,-0.061547367912768235,0,0,0,129.96420365609765,133.00469202010515,130.929640052851,132.12708907564522,131.479796638051,NA
2020-09-11T00:00:00Z,131.47887677646148,160,120,0.05808334607756422,0.05808334607756422,0.05808334607756422,0.05808334607756422,0.05808334607756422,0.05808334607756422,0,0,0,129.87290173153363,133.13705762842812,130.84588588430387,132.08542005604517,131.53696012253903,NA
2020-09-12T00:00:00Z,131.41661201449608,160,120,-0.11808001898899945,-0.11808001898899945,-0.11808001898899945,-0.11808001898899945,-0.11808001898899945,-0.11808001898899945,0,0,0,129.77636725539622,132.86021109820305,130.76323968258546,132.04398827393538,131.2985319955071,NA
2020-09-13T00:00:00Z,131.35455053608348,160,120,-0.37327387879816304,-0.37327387879816304,-0.37327387879816304,-0.37327387879816304,-0.37327387879816304,-0.37327387879816304,0,0,0,129.16591859300183,132.55547309862519,130.68453615497063,131.99817137061333,130.98127665728532,NA
2020-09-14T00:00:00Z,131.29269314015585,160,120,0.12462424005239602,0.12462424005239602,0.12462424005239602,0.12462424005239602,0.12462424005239602,0.12462424005239602,0,0,0,129.75828559869748,133.02786149884656,130.5998808776005,131.95560942598587,131.41731738020823,NA
2020-09-15T00:00:00Z,131.23104060858967,160,120,0.2528296889234063,0.2528296889234063,0.2528296889234063,0.2528296889234063,0.2528296889234063,0.2528296889234063,0,0,0,129.9508496454085,133.14756932866567,130.5132093914081,131.90166642683323,131.48387029751308,NA
2020-09-16T00:00:00Z,131.16959370623593,160,120,0.11736399064603054,0.11736399064603054,0.11736399064603054,0.11736399064603054,0.11736399064603054,0.11736399064603054,0,0,0,129.69138082276453,132.9499615903993,130.42929305495903,131.85611181817188,131.28695769688196,NA
2020-09-17T00:00:00Z,131.1083531809533,160,120,-0.06154736791259548,-0.06154736791259548,-0.06154736791259548,-0.06154736791259548,-0.06154736791259548,-0.06154736791259548,0,0,0,129.29999895515002,132.63884799222046,130.34901594261558,131.81248987266912,131.0468058130407,NA
2020-09-18T00:00:00Z,131.0473197636432,160,120,0.05808334607744173,0.05808334607744173,0.05808334607744173,0.05808334607744173,0.05808334607744173,0.05808334607744173,0,0,0,129.4691052830173,132.7987520688277,130.27114802225418,131.77008387388284,131.10540310972064,NA
2020-09-19T00:00:00Z,130.98649416828798,160,120,-0.11808001898956903,-0.11808001898956903,-0.11808001898956903,-0.11808001898956903,-0.11808001898956903,-0.11808001898956903,0,0,0,129.151044306017,132.48575733675966,130.19019286152505,131.734636632065,130.86841414929842,NA
2020-09-20T00:00:00Z,130.92587709199083,160,120,-0.37327387879889823,-0.37327387879889823,-0.37327387879889823,-0.37327387879889823,-0.37327387879889823,-0.37327387879889823,0,0,0,128.90563649746156,132.31341938057977,130.1137468764116,131.68991967248053,130.55260321319193,NA
2020-09-21T00:00:00Z,130.86546921501852,160,120,0.12462424005270246,0.12462424005270246,0.12462424005270246,0.12462424005270246,0.12462424005270246,0.12462424005270246,0,0,0,129.3412590868757,132.75057239601614,130.0318837351339,131.65010745324093,130.99009345507122,NA
2020-09-22T00:00:00Z,130.8052712008464,160,120,0.252829688923563,0.252829688923563,0.252829688923563,0.252829688923563,0.252829688923563,0.252829688923563,0,0,0,129.43051119075415,132.6377566326339,129.94720687607412,131.6034713267506,131.05810088976995,NA
2020-09-23T00:00:00Z,130.74528369620555,160,120,0.11736399064573488,0.11736399064573488,0.11736399064573488,0.11736399064573488,0.11736399064573488,0.11736399064573488,0,0,0,129.16509514428913,132.637436855826,129.866204248783,131.5685394179119,130.8626476868513,NA
2020-09-24T00:00:00Z,130.6855073311324,160,120,-0.06154736791288244,-0.06154736791288244,-0.06154736791288244,-0.06154736791288244,-0.06154736791288244,-0.06154736791288244,0,0,0,128.94685785846858,132.30506863429645,129.79605339380444,131.5148882011071,130.62395996321953,NA
2020-09-25T00:00:00Z,130.62594271902051,160,120,0.05808334607738379,0.05808334607738379,0.05808334607738379,0.05808334607738379,0.05808334607738379,0.05808334607738379,0,0,0,128.89499505264487,132.43615389563115,129.71417945478254,131.47060566317938,130.6840260650979,NA
2020-09-26T00:00:00Z,130.56659045667445,160,120,-0.11808001899013873,-0.11808001899013873,-0.11808001899013873,-0.11808001899013873,-0.11808001899013873,-0.11808001899013873,0,0,0,128.62730257900512,132.0445735390405,129.63646268849274,131.41740898468544,130.44851043768432,NA
2020-09-27T00:00:00Z,130.50745112436618,160,120,-0.3732738787986025,-0.3732738787986025,-0.3732738787986025,-0.3732738787986025,-0.3732738787986025,-0.3732738787986025,0,0,0,128.41476057260275,131.74407551670734,129.55628693362507,131.37295584023397,130.13417724556757,NA
2020-09-28T00:00:00Z,130.44852528589323,160,120,0.12462424005306925,0.12462424005306925,0.12462424005306925,0.12462424005306925,0.12462424005306925,0.12462424005306925,0,0,0,128.87462612547301,132.29853529816552,129.47906463981087,131.33442057012877,130.5731495259463,NA
2020-09-29T00:00:00Z,130.38981348863908,160,120,0.25282968892340746,0.25282968892340746,0.25282968892340746,0.25282968892340746,0.25282968892340746,0.25282968892340746,0,0,0,128.69136309686104,132.32013352128953,129.3980458212479,131.29076932982147,130.6426431775625,NA
2020-09-30T00:00:00Z,130.33131626363587,160,120,0.11736399064578101,0.11736399064578101,0.11736399064578101,0.11736399064578101,0.11736399064578101,0.11736399064578101,0,0,0,128.71960345702044,132.25666703516524,129.32107371751295,131.25087825133286,130.44868025428164,NA
2020-10-01T00:00:00Z,130.27303412562873,160,120,-0.061547367912249955,-0.061547367912249955,-0.061547367912249955,-0.061547367912249955,-0.061547367912249955,-0.061547367912249955,0,0,0,128.35838837538952,131.95742108067546,129.2469070624131,131.21553890568643,130.21148675771647,NA
2020-10-02T00:00:00Z,130.21496757314245,160,120,0.05808334607774789,0.05808334607774789,0.05808334607774789,0.05808334607774789,0.05808334607774789,0.05808334607774789,0,0,0,128.43006843649974,132.05037515938997,129.17001115511778,131.1807089151234,130.2730509192202,NA
2020-10-03T00:00:00Z,130.15711708854994,160,120,-0.11808001898987425,-0.11808001898987425,-0.11808001898987425,-0.11808001898987425,-0.11808001898987425,-0.11808001898987425,0,0,0,128.16525864103784,131.80671318893795,129.09151780172328,131.15815582941582,130.03903706956007,NA
2020-10-04T00:00:00Z,130.0994831381428,160,120,-0.373273878798572,-0.373273878798572,-0.373273878798572,-0.373273878798572,-0.373273878798572,-0.373273878798572,0,0,0,127.84685147070937,131.45173437322123,129.01522049873802,131.1199798556143,129.72620925934422,NA
2020-10-05T00:00:00Z,130.0420661722035,160,120,0.12462424005343606,0.12462424005343606,0.12462424005343606,0.12462424005343606,0.12462424005343606,0.12462424005343606,0,0,0,128.3835143349705,132.00358807444138,128.94315882260994,131.07179087542102,130.16669041225694,NA
2020-10-06T00:00:00Z,129.98486662507975,160,120,0.25282968892360075,0.25282968892360075,0.25282968892360075,0.25282968892360075,0.25282968892360075,0.25282968892360075,0,0,0,128.40403167803157,131.97187303757298,128.87331280674005,131.03663555830659,130.23769631400336,NA
2020-10-07T00:00:00Z,129.9278849152605,160,120,0.11736399064514358,0.11736399064514358,0.11736399064514358,0.11736399064514358,0.11736399064514358,0.11736399064514358,0,0,0,128.13191219878712,131.82546184090614,128.7970975855182,130.9929768601345,130.04524890590565,NA
2020-10-08T00:00:00Z,129.87112144545375,160,120,-0.06154736791253694,-0.06154736791253694,-0.06154736791253694,-0.06154736791253694,-0.06154736791253694,-0.06154736791253694,0,0,0,127.95270466566316,131.67668507264935,128.71062855218793,130.97651674048134,129.8095740775412,NA
2020-10-09T00:00:00Z,129.81457660266616,160,120,0.05808334607713881,0.05808334607713881,0.05808334607713881,0.05808334607713881,0.05808334607713881,0.05808334607713881,0,0,0,127.92107291324238,131.70769124414366,128.6188501369626,130.95421253252252,129.8726599487433,NA
2020-10-10T00:00:00Z,129.75825075828445,160,120,-0.11808001899044393,-0.11808001899044393,-0.11808001899044393,-0.11808001899044393,-0.11808001899044393,-0.11808001899044393,0,0,0,127.88179288308258,131.51927458077637,128.55499568189043,130.89592587757127,129.640170739294,NA
2020-10-11T00:00:00Z,129.70214426815824,160,120,-0.37327387879904206,-0.37327387879904206,-0.37327387879904206,-0.37327387879904206,-0.37327387879904206,-0.37327387879904206,0,0,0,127.52230676708355,131.16154238205743,128.4760816755054,130.85714979834358,129.3288703893592,NA
2020-10-12T00:00:00Z,129.6462574726849,160,120,0.12462424005380289,0.12462424005380289,0.12462424005380289,0.12462424005380289,0.12462424005380289,0.12462424005380289,0,0,0,127.88699207899236,131.64564588975352,128.395746434873,130.8610300615382,129.7708817127387,NA
2020-10-13T00:00:00Z,129.59059069689565,160,120,0.25282968892344515,0.25282968892344515,0.25282968892344515,0.25282968892344515,0.25282968892344515,0.25282968892344515,0,0,0,127.86998740637725,131.78361294678413,128.31640325434114,130.8287476255899,129.8434203858191,NA
2020-10-14T00:00:00Z,129.53514425054348,160,120,0.11736399064638943,0.11736399064638943,0.11736399064638943,0.11736399064638943,0.11736399064638943,0.11736399064638943,0,0,0,127.7736431502223,131.6314978022108,128.23924892649526,130.79382477065204,129.65250824118988,NA
2020-10-15T00:00:00Z,129.4799184281925,160,120,-0.061547367912364176,-0.061547367912364176,-0.061547367912364176,-0.061547367912364176,-0.061547367912364176,-0.061547367912364176,0,0,0,127.49614470239663,131.45465803738367,128.15934849165015,130.75040596404995,129.41837106028012,NA
2020-10-16T00:00:00Z,129.42491350930885,160,120,0.05808334607750293,0.05808334607750293,0.05808334607750293,0.05808334607750293,0.05808334607750293,0.05808334607750293,0,0,0,127.34817206642253,131.4382219868139,128.0810941312762,130.71631135560864,129.48299685538635,NA
